Timestamp,County_x,Code,DEM,REP,IND,NPA,OTHER,TOTAL,DEM %,REP %,D Raw Margin,R Raw Margin,Diff,Signed Margin,Leader,Rating,DEM New,REP New,IND New,NPA New,OTHER New,Total New,Margin Move,Rating Change,Rating Move,Margin Diff,County_y,Last Updated
2026-08-13 14:32:42,Alachua,ALA,9497,4529,179,1634,48,15887,0.6770996720376444,0.3229003279623556,4968,-4968,0.3541993440752888,0.3541993440752888,D,Safe,82,45,1,3,1,132,0.0,No,,-0.06% toward Republicans,Alachua,2026-08-13 14:32:42
2026-08-13 14:32:42,Baker,BAK,283,1845,12,87,7,2234,0.13298872180451127,0.8670112781954887,-1562,1562,0.7340225563909775,-0.7340225563909775,R,Safe,4,30,0,1,0,35,0.0,No,,-0.05% toward Republicans,Baker,2026-08-13 14:32:42
2026-08-13 14:32:42,Bay,BAY,2924,8603,115,910,34,12586,0.2536653075388219,0.7463346924611781,-5679,5679,0.49266938492235623,-0.49266938492235623,R,Safe,34,135,0,9,0,178,0.0,No,,-0.16% toward Republicans,Bay,2026-08-13 14:32:42
2026-08-13 14:32:42,Bradford,BRA,300,990,2,23,0,1315,0.23255813953488372,0.7674418604651163,-690,690,0.5348837209302326,-0.5348837209302326,R,Safe,5,20,0,1,0,26,0.0,No,,-0.13% toward Republicans,Bradford,2026-08-13 14:32:42
2026-08-13 14:32:42,Brevard,BRE,18218,25463,651,5448,126,49906,0.41706920629106475,0.5829307937089352,-7245,7245,0.16586158741787044,-0.16586158741787044,R,Safe,108,285,1,22,0,416,0.0,No,,-0.26% toward Republicans,Brevard,2026-08-13 14:32:42
2026-08-13 14:32:42,Broward,BRO,7220,2567,145,2056,21,12009,0.7377132931439665,0.2622867068560335,4653,-4653,0.475426586287933,0.475426586287933,D,Safe,0,0,0,0,0,0,0.0,No,,No change,Broward,2026-08-05 18:02:01
2026-08-13 14:32:42,Calhoun,CAL,254,844,1,34,0,1133,0.23132969034608378,0.7686703096539163,-590,590,0.5373406193078325,-0.5373406193078325,R,Safe,16,26,0,0,0,42,0.0,No,,+1.19% toward Democrats,Calhoun,2026-08-13 14:32:42
2026-08-13 14:32:42,Charlotte,CHA,6819,12825,431,2824,80,22979,0.347128894318876,0.652871105681124,-6006,6006,0.30574221136224805,-0.30574221136224805,R,Safe,28,100,1,9,1,139,0.0,No,,-0.17% toward Republicans,Charlotte,2026-08-13 14:32:42
2026-08-13 14:32:42,Citrus,CIT,4850,11617,337,2232,63,19099,0.2945284508410761,0.705471549158924,-6767,6767,0.41094309831784787,-0.41094309831784787,R,Safe,55,166,9,23,3,256,0.0,No,,-0.12% toward Republicans,Citrus,2026-08-13 14:32:42
2026-08-13 14:32:42,Clay,CLA,3542,9314,112,1054,29,14051,0.2755133789670193,0.7244866210329807,-5772,5772,0.4489732420659614,-0.4489732420659614,R,Safe,26,130,1,6,0,163,0.0,No,,-0.27% toward Republicans,Clay,2026-08-13 14:32:42
2026-08-13 14:32:42,Collier,CLL,8411,22233,401,3441,56,34542,0.27447461166949483,0.7255253883305052,-13822,13822,0.45105077666101034,-0.45105077666101034,R,Safe,51,211,2,16,1,281,0.0,No,,-0.14% toward Republicans,Collier,2026-08-13 14:32:42
2026-08-13 14:32:42,Columbia,CLM,1458,3603,35,338,18,5452,0.2880853586247777,0.7119146413752223,-2145,2145,0.4238292827504446,-0.4238292827504446,R,Safe,16,55,1,2,0,74,0.0,No,,-0.18% toward Republicans,Columbia,2026-08-13 14:32:42
2026-08-13 14:32:42,DeSoto,DES,416,748,0,0,0,1164,0.35738831615120276,0.6426116838487973,-332,332,0.28522336769759454,-0.28522336769759454,R,Safe,6,5,0,0,0,11,0.0,No,,+0.36% toward Democrats,DeSoto,2026-08-13 14:32:42
