Timestamp,County_x,Code,DEM,REP,IND,NPA,OTHER,TOTAL,DEM %,REP %,D Raw Margin,R Raw Margin,Diff,Signed Margin,Leader,Rating,DEM New,REP New,IND New,NPA New,OTHER New,Total New,Margin Move,Rating Change,Rating Move,Margin Diff,County_y,Last Updated
2026-08-05 22:07:13,Alachua,ALA,3498,1517,98,865,22,6000,0.6975074775672981,0.3024925224327019,1981,-1981,0.3950149551345962,0.3950149551345962,D,Safe,190,71,3,31,1,296,0.0,No,,+0.33% toward Democrats,Alachua,2026-08-05 22:07:13
2026-08-05 22:07:13,Baker,BAK,86,300,2,25,0,413,0.22279792746113988,0.7772020725388601,-214,214,0.5544041450777202,-0.5544041450777202,R,Safe,11,30,0,1,0,42,0.0,No,,+1.08% toward Democrats,Baker,2026-08-05 22:07:13
2026-08-05 22:07:13,Bay,BAY,1199,2268,53,487,13,4020,0.3458321315258148,0.6541678684741852,-1069,1069,0.30833573694837035,-0.30833573694837035,R,Safe,17,28,2,4,0,51,0.0,No,,+0.08% toward Democrats,Bay,2026-08-05 22:07:13
2026-08-05 22:07:13,Bradford,BRA,128,378,1,13,0,520,0.25296442687747034,0.7470355731225297,-250,250,0.4940711462450593,-0.4940711462450593,R,Safe,34,240,0,2,0,276,0.0,No,,-30.44% toward Republicans,Bradford,2026-08-05 22:07:13
2026-08-05 22:07:13,Brevard,BRE,7988,8466,365,2976,57,19852,0.48547465661845146,0.5145253433815485,-478,478,0.029050686763097078,-0.029050686763097078,R,Toss Up,842,668,37,200,7,1754,0.01457886355810202,Yes,Lean R → Toss Up R,+1.46% toward Democrats,Brevard,2026-08-05 22:07:13
2026-08-05 22:07:13,Broward,BRO,7220,2567,145,2056,21,12009,0.7377132931439665,0.2622867068560335,4653,-4653,0.475426586287933,0.475426586287933,D,Safe,0,0,0,0,0,0,0.0,No,,No change,Broward,2026-08-05 18:02:01
2026-08-05 22:07:13,Calhoun,CAL,121,273,0,11,0,405,0.30710659898477155,0.6928934010152284,-152,152,0.3857868020304569,-0.3857868020304569,R,Safe,49,127,0,3,0,179,0.0,No,,-4.63% toward Republicans,Calhoun,2026-08-05 22:07:13
2026-08-05 22:07:13,Charlotte,CHA,3945,5504,271,1811,44,11575,0.41750449783045823,0.5824955021695417,-1559,1559,0.16499100433908348,-0.16499100433908348,R,Safe,131,206,0,46,0,383,0.0,No,,-0.21% toward Republicans,Charlotte,2026-08-05 22:07:13
2026-08-05 22:07:13,Citrus,CIT,2689,4677,194,1367,32,8959,0.36505566114580507,0.634944338854195,-1988,1988,0.2698886777083899,-0.2698886777083899,R,Safe,100,178,6,46,2,332,0.0,No,,-0.04% toward Republicans,Citrus,2026-08-05 22:07:13
2026-08-05 22:07:13,Clay,CLA,1551,2518,62,556,14,4701,0.38117473580732364,0.6188252641926764,-967,967,0.23765052838535272,-0.23765052838535272,R,Safe,112,205,4,42,0,363,0.0,No,,-0.47% toward Republicans,Clay,2026-08-05 22:07:13
